Códigos UNSPSC,Descripción,Fecha estimada de inicio de proceso de selección,Duración estimada del contrato,Modalidad de selección,Fuente de los recursos,Valor total estimado,Valor estimado en la vigencia actual,¿Se requieren vigencias futuras?,Estado de solicitud de vigencias futuras,Datos de contacto del responsable
80131502,"ARRENDAMIENTO DE UN BIEN INMUEBLE, CON DESTINO AL FUNCIONAMIENTO DE LA FISCALIA 31 Y 32 DEL MUNICIPIO DE PUERTO LIBERTADOR, DANDO CUMPLIMIENTO AL CONVENIO No 002-2017 SUSCRITO ENTRE LA FISCALIA GENERAL DE LANACIÓN SECCIONAL CORDOBA Y EL MUNICIPIO DE PUERTO LIBERTADOR.",FEBRERO,11 MESES,Contratación directa,FUNCIONAMIENTO,40000000,40000000,N/A,N/A,"Secretaía de gobierno
Rafael Ivan Martinez Ricardo
sec.gobierno@piuertolibnertador-cordoba.gov.co"
80131502,"ARRENDAMIENTO DE UN BIEN INMUEBLE CON DESTINO AL FUNCIONAMIENTO DE LA SECRETARIA LOCAL DE SALUD, COMISARIA DE FAMILIA, UNIDAD DE ATENCION Y REPARACION DE VICTIMAS, RED UNIDOS Y SISBEN EN EL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA",FEBRERO,10 MESES,Contratación directa,FUNCIONAMIENTO,55200000,55200000,N/A,N/A,"Secretaía de gobierno
Rafael Ivan Martinez Ricardo
sec.gobierno@piuertolibnertador-cordoba.gov.co"
80131502,ARRENDAMIENTO DE UN BIEN INMUEBLE PARA EL FUNCIONAMIENTO DE LAS BODEGAS DE LOS ALIMENTOS NO PERECEDEROS PARA LA ATENCION DE AYUDA HUMANITARIA INMEDIATA Y EL PROGRAMA RN 1000 DIAS DEL ICBF EN EL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA.,ABRIL,8 MESES,Contratación directa,FUNCIONAMIENTO,18000000,18000000,N/A,N/A,"Secretaía de gobierno
Rafael Ivan Martinez Ricardo
sec.gobierno@piuertolibnertador-cordoba.gov.co"
80111600,PRESTACIÓN DE SERVICIOS COMO APOYO A LA GESTION DE LA SECRETARIA DE GOBIERNO EN LA COORDINACIÓN DEL ADULTO MAYOR EN EL MUNICIPIO DE PUERTO LIBERTADOR - CORDOBA,ENERO,11 MESES,Contratación directa,FUNCIONAMIENTO,18000000,18000000,N/A,N/A,"Secretaría de gobierno.
Rafael Ivan Martinez Ricardo"
80111600,PRESTACIÓN DE SERVICIOS PARA BRINDAR APOYO A LA  SECRETARIA DE INFRAESTRUCTURA MUNICIPAL EN LOS TRAMITES Y PROCEDIMIENTOS DE ARCHIVO Y ORGANIZACIÓN  DOCUMENTAL PARA FORTALECER LA PLANEACION ESTATAL.,ENERO,4 MESES,Contratación directa,SGP,4250000,4250000,N/A,N/A,"Oficina de planeación y TIC´s
ALBEIRO ANTONIO MARZOLA HOYOS
Jefe Oficina de planeación y TIC´s"
80111600,PRESTACIÓN DE SERVICIOS COMO APOYO  A LA GESTION CONTABLE DE LA SECRETARIA DE HACIENDA DE LA ALCALDIA MUNICIPAL DE PUERTO LIBERTADOR – CORDOBA.,ENERO,11 MESES,Contratación directa,SGP,18000000,18000000,N/A,N/A,"Luis Enrique Cortes Montalvo.
Secretario de Hacienda.
Email: secretariadehacienda@puertolibertador-cordoba.gov.co"
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION COMO MENSAJERO DE LA ADMINITRACION CENTRAL DE LA ALCALDIA DE PUERTO LIBERTADOR - CORDOBA,ENERO,11 MESES,Contratación directa,SGP,14400000,14400000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR TAREAS ENCOMENDADAS DE CARÁCTER ASISTENCIAL COMO SERVICIOS GENERALES EN EL PRIMER PISO DEL PALACIO MUNICIPAL DE PUERTO LIBERTADOR – CORDOBA,ENERO,11 MESES,Contratación directa,SGP,14400000,14400000,N/A,N/A,Secretaría General
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR TAREAS ENCOMENDADAS DE CARÁCTER OPERATIVO Y ASISTENCIAL COMO PORTERO DE LA ALCALDIA MUNICIPAL DE PUERTO LIBERTADOR - CORDOBA,ENERO,11 MESES,Contratación directa,SGP,14400000,14400000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION A LA SECRETARIA ADMINISTRATIVA DEL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA EN EL AREA CONTRACTUAL,ENERO,11 MESES,Contratación directa,SGP,24000000,24000000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS EN APOYO A LA GESTION COMO DIGITADOR DEL PROGRAMA MAS FAMILIAS EN ACCION DEL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA,ENERO,2 MESES,Contratación directa,SGP,3000000,3000000,N/A,N/A,Secrtaria de gobierno
80111600,"PRESTACIÓN DE SERVICIOS DEAPOYO A LA GESTION PARA MANEJO DE LA PLATAFORMA DE SISBEN III EN EL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA, DE ACUERDO CON LA METODOLOGÍA, LOS CONTENIDOS, LOS PROCEDIMIENTOS Y LAS NORMAS ESTABLECIDAS POR EL DNP",ENERO,2 MESES,Contratación directa,SGP,3000000,3000000,N/A,N/A,"Oficina de planeación y TIC´s
ALBEIRO ANTONIO MARZOLA HOYOS
Jefe Oficina de planeación y TIC´s"
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR TAREAS ENCOMENDADAS DE CARÁCTER ASISTENCIAL COMO SERVICIOS GENERALES DE LA OFICINA DEL CRENAM DEL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA,ENERO,11 MESES,Contratación directa,SGP,14400000,14400000,N/A,N/A,Secretaría de Infraestructura
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR TAREAS ENCOMENDADAS DE CARÁCTER OPERATIVO Y ASISTENCIAL COMO PORTERO DE LA BIBLIOTECA MUNICIPAL DE PUERTO LIBERTADOR – CORDOBA,ENERO,11 MESES,Contratación directa,SGP,14400000,14400000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR TAREAS ENCOMENDADAS DE CARÁCTER OPERATIVO Y ASISTENCIAL COMO PORTERO DE LA CASA DE LA CULTURA DE PUERTO LIBERTADOR - CORDOBA,ENERO,11 MESES,Contratación directa,SGP,14400000,14400000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,"PRESTACIÓN DE SERVICIOS DE ASISTENCIA TECNICA AL PEQUEÑO Y MEDIANO CAMPESINO, ESPECIALMENTE EN EL AREA DEL AGRO. EN EL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA.",ENERO,2 MESES,Contratación directa,SGP,3000000,3000000,N/A,N/A,Secretaria de Infraestructura
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR TAREAS ENCOMENDADAS DE CARÁCTER ASISTENCIAL COMO SERVICIOS GENERALES EN LA CASA DE LA CULTURA DEL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA,ENERO,11 MESES,Contratación directa,SGP,14400000,14400000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA LA COORDINACION E IMPLEMENTACION DE LA LEY DE ARCHIVO EN EL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA.,FEBRERO,10 MESES,Contratación directa,SGP,16500000,16500000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,"PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA IMPULSAR DESDE LA SECRETARIA DE GOBIERNO, EL ACCESO  A LA JUSTICIA, COORDINANDO LOS CONCILIADORES EN EQUIDAD PARA LA BUSQUEDA DE LA PAZ EN EL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA",FEBRERO,10 MESES,Contratación directa,SGP,16500000,16500000,N/A,N/A,Secretaría de Gobierno
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION EN EL PROGRAMA MAS FAMILIAS EN ACCION DEL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA,FEBRERO,10 MESES,Contratación directa,SGP,13200000,13200000,N/A,N/A,Secretaría de Gobierno
80111600,PRESTACIÓN DE SERVICIOS COMO APOYO EN LA SECRETARIA DE INFRAESTRUCTURA DEL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA,FEBRERO,10 MESES,Contratación directa,SGP,14400000,14400000,N/A,N/A,Secretaría de Infraestructura
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION AL DESPACHO DEL ALCALDE DEL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA,FEBRERO,6 MESES,Contratación directa,SGP,9600000,9600000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION COMO BIBILOTECARIA DE LA ALCALDIA MUNICIPAL DE PUERTO LIBERTADOR – CÓRDOBA.,FEBRERO,10 MESES,Contratación directa,SGP,13200000,13200000,N/A,N/A,Secretaría de desarrollo Social
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA LA ATENCIÓN DE USUARIOS EN LA BIBLIOTECA MUNICIPAL DE PUERTO LIBERTADOR-CORDOBA.,FEBRERO,10 MESES,Contratación directa,SGP,13200000,13200000,N/A,N/A,Secretaría de desarrollo Social
80111600,PRESTACIÓN DE SERVICIOS COMO APOYO  EN LA SECRETARIA DE HACIENDA DEL MUNICIPIO DE PUERTO LIBERTADOR - CORDOBA,FEBRERO,10 MESES,Contratación directa,SGP,13200000,13200000,N/A,N/A,SECRETARIA DE HACIENDA
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA LA VERIFICACIÓN DE DOCUMENTOS DEL PROGRAMA MAS FAMILIAS EN ACCION  EN EL MUNICIPIO DE PUERTO LIBERTADOR CORDOBA,FEBRERO,10 MESES,Contratación directa,SGP,13200000,13200000,N/A,N/A,Secretaria de Gobierno
80111600,"PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION DE UN TÉCNICO EN SISTEMAS PARA EL MANEJO DE LAS PLATAFORMAS SECOP, SIA OBSERVATORIO Y GOBIERNO EN LINEA EN EL MUNICIPIO DE PUERTO LIBERTADOR - CORDOBA",FEBRERO,10 MESES,Contratación directa,SGP,17200000,17200000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR TAREAS ENCOMENDADAS DE CARÁCTER OPERATIVO Y ASISTENCIAL COMO PORTERO DE LA ALCALDIA MUNICIPAL DE PUERTO LIBERTADOR - CORDOBA,FEBRERO,2 MESES,Contratación directa,SGP,2400000,2400000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION DE LA INSPECCION DE POLICIA DEL MUNICIPIO DE PUERTO LIBERTADOR - CORDOBA,FEBRERO,10 MESES,Contratación directa,SGP,13200000,13200000,N/A,N/A,Secretaria de Gobierno
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA ATENCION AL USUARIO EN EL PROGRAMA MAS FAMILIAS EN ACCION EN EL  MUNICIPIO DE PUERTO LIBERTADOR - CORDOBA,FEBRERO,10 MESES,Contratación directa,SGP,13200000,13200000,N/A,N/A,Secretria de Gobierno
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR TAREAS ENCOMENDADAS DE CARÁCTER OPERATIVO Y ASISTENCIAL EN LA JORNADA DIURNA COMO PORTERO DEL PARQUE 20 DE JULIO DEL MUNICIPIO DE PUERTO LIBERTADOR - CORDOBA,FEBRERO,2 MESES,Contratación directa,SGP,2400000,2400000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACION DE SERVICIOS DE APOYO PARA LA CONMEMORACIÓN DEL DIA INTERNACIONAL DE LA MUJER EN EL MUNICIPIO DE PUERTO LIBERTADOR –CORDOBA,FEBRERO,10 DIAS,Contratación directa,SGP,60000000,60000000,N/A,N/A,Secretaria de desarrollo Social
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN EN EL AREA DE PRESUPESTO DE LA ALCALDÍA MUNICIPAL DEL MUNICIPIO DE PUERTO LIBERTADOR - CORDOBA,MARZO,10 MESES,Contratación directa,SGP,13800000,13800000,N/A,N/A,Secretaria  de Hacienda
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR TAREAS ENCOMENDADAS DE CARÁCTER OPERATIVO Y ASISTENCIAL EN LA JORNADA NOCTURNA COMO PORTERO DEL PARQUE 20 DE JULIO DEL MUNICIPIO DE PUERTO LIBERTADOR - CORDOBA,MARZO,10 MESES,Contratación directa,SGP,14400000,14400000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR TAREAS ENCOMENDADAS DE CARÁCTER ASISTENCIAL COMO SERVICIOS GENERALES EN EL PALACIO MUNICIPAL DE PUERTO LIBERTADOR – CORDOBA,FEBRERO,10 MESES,Contratación directa,SGP,13200000,13200000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,"PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION COMO ASISTENTE PARA REALIZAR LAS LABORES DE ARCHIVO Y DIGITACION EN LA FISCALIA 31 Y 32 DEL MUNICIPIO DE PUERTO LIBERTADOR, PARA DAR CUMPLIMIENTO AL CONVENIO N° 002-2017 SUSCRITO ENTRE LA FISCALIA GENERAL DE LA NACION SECCIONAL CORDOBA Y EL MUNICIPIO DE PUERTO LIBERTADOR.",MARZO,9 MESES,Contratación directa,SGP,16900000,16900000,N/A,N/A,Secretaria de Gobierno
80111600,"PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION A LA GESTION COMO ASISTENTE CON CONOCIMIENTO EN DERECHO EN LA FISCALIA 31 Y 32 DEL MUNICIPIO DE PUERTO LIBERTADOR, PARA DAR CUMPLIMIENTO AL CONVENIO N° 002-2017 SUSCRITO ENTRE LA FISCALIA GENERAL DE LA NACION SECCIONAL CORDOBA Y EL MUNICIPIO DE PUERTO LIBERTADOR.",MARZO,9 MESES,Contratación directa,SGP,21600000,21600000,N/A,N/A,Secretario de gobierno
